package	version	architecture	source	package_url	size	sha256	requested_by
aria2	1.37.0+debian-1build3	amd64	Ubuntu:noble:universe:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/universe/a/aria2/aria2_1.37.0%2bdebian-1build3_amd64.deb	387112	693a587e27898f8de0b69fc6a814cdac3acac01566656a4e0acefd46c453e727	apt-closure
autoconf	2.71-3	all	Ubuntu:noble:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/a/autoconf/autoconf_2.71-3_all.deb	338946	cc3f9f7a1e576173fb59c36652c0a67c6426feae752b352404ba92dfcb1b26c9	apt-closure
automake	1:1.16.5-1.3ubuntu1	all	Ubuntu:noble:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/a/automake-1.16/automake_1.16.5-1.3ubuntu1_all.deb	558172	5ae9a98e73545002cd891f028859941af2a3c760cb6190e635c7ef36953912de	apt-closure
bash	5.2.21-2ubuntu4	amd64	Ubuntu:noble:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/b/bash/bash_5.2.21-2ubuntu4_amd64.deb	794086	73de311a21e094e29ac01527d2b52226cc87fde0a5b57032902251b426d92c66	apt-closure
binaryen	108-1	amd64	Ubuntu:noble:universe:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/universe/b/binaryen/binaryen_108-1_amd64.deb	3390376	ef81caebd1cc28028cc5a3054cdebf500c3c1c6243438d224dd8c1614ff90644	apt-closure
binfmt-support	2.2.2-7	amd64	Ubuntu:noble:universe:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/universe/b/binfmt-support/binfmt-support_2.2.2-7_amd64.deb	56176	1c9d949efdb1110fa2f9de59587f9426fc39caa0acb43f6b905787958e27650e	apt-closure
build-essential	12.10ubuntu1	amd64	Ubuntu:noble:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/b/build-essential/build-essential_12.10ubuntu1_amd64.deb	4928	9b2159b95a4c01937309783c7c8a6ec8dfbcb7ffd604951c9713ac52ee9c7268	apt-closure
buildah	1.33.7+ds1-1ubuntu0.24.04.3	amd64	Ubuntu:noble-updates:universe:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/universe/g/golang-github-containers-buildah/buildah_1.33.7%2bds1-1ubuntu0.24.04.3_amd64.deb	8147742	a94382e24be71739da40350fddc896464692cd736d2fc2f5507d6d6961d34727	apt-closure
bzip2	1.0.8-5.1build0.1	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/b/bzip2/bzip2_1.0.8-5.1build0.1_amd64.deb	34534	71c02f8f7541a2a57f0f3545ee826ad9778e665c5c457f34aca9e71abdc1a22b	apt-closure
ca-certificates	20260601~24.04.1	all	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/c/ca-certificates/ca-certificates_20260601%7e24.04.1_all.deb	139430	6bac2a01979e210d9eac1d4d56747ec709ea60654744d66705dc3c36e7629e50	apt-closure
