component	version	architecture	source_type	source_url	size	sha256	pack	git_repository	git_tag	git_commit	spdx
bazel	9.2.0	amd64	github-release	https://github.com/bazelbuild/bazel/releases/download/9.2.0/bazel-9.2.0-linux-x86_64	65942537	7668a95db1250f12c40407251e4e203b4ec8bf39bc495d2f485b2d8c99048694	cross-build-core	https://github.com/bazelbuild/bazel	9.2.0	8220c6198837d5c13d53fea211cf3282aa12408a	Apache-2.0
github-cli	2.97.0	amd64	github-release	https://github.com/cli/cli/releases/download/v2.97.0/gh_2.97.0_linux_amd64.tar.gz	14770812	a2c9b8497e1f85b1ad0dfcb78b5a622e098801b8e461e459e88e1ee12f018112	sezu-core	https://github.com/cli/cli	v2.97.0	55dbb4dc6b7edb10b48e3d7fc5bccd32318d1b55	MIT
gitlab-cli	1.112.0	amd64	gitlab-release	https://gitlab.com/gitlab-org/cli/-/releases/v1.112.0/downloads/glab_1.112.0_linux_amd64.deb	18257740	71eb77a13dd57f3add103e979b20dbd9f4730bcaf9501ae2e8ac14cb4585c707	sezu-core	https://gitlab.com/gitlab-org/cli	v1.112.0	816e3a52411aba73d90237859fdc6ecbc86bd169	MIT
grpcurl	1.9.3	amd64	github-release	https://github.com/fullstorydev/grpcurl/releases/download/v1.9.3/grpcurl_1.9.3_linux_x86_64.tar.gz	7909225	a926b62a85787ccf73ef8736b3ae554f1242e39d92bb8767a79d6dd23b11d1d5	network-core	https://github.com/fullstorydev/grpcurl	v1.9.3	d00c28104be4b06f4dd887196ccfc57b054aa069	MIT
kubectl	1.36.3	amd64	official-binary	https://dl.k8s.io/release/v1.36.3/bin/linux/amd64/kubectl	59556002	ebbd080e7c2e275093b55915722043257eb24004363e20acb3c4d71919f88336	sezu-core				Apache-2.0
nats-cli	0.4.0	amd64	github-release	https://github.com/nats-io/natscli/releases/download/v0.4.0/nats-0.4.0-linux-amd64.zip	9609864	8dbd437c826b953dbd7432cf890ef22ba3c33dccc3dce5e71b3e8d055427849c	network-core	https://github.com/nats-io/natscli	v0.4.0	21e276a53dc7ff2b73e67c3ab39303d0c3a1f831	Apache-2.0
nodejs	24.19.0	amd64	official-archive	https://nodejs.org/dist/v24.19.0/node-v24.19.0-linux-x64.tar.xz	31633904	14b342e71204f811bde6153be8e04b62aef63c236fef92b55f9c83154b409647	sezu-core				MIT
opentofu	1.12.5	amd64	github-release	https://github.com/opentofu/opentofu/releases/download/v1.12.5/tofu_1.12.5_linux_amd64.tar.gz	34626370	a6894d45ae7a17ce83189cce8fe04b5a65f68cefceb62455b5a6a89fa53ab38f	sezu-core	https://github.com/opentofu/opentofu	v1.12.5	230349e959a44fb8eb7b83754f9d9b012f3bdb42	MPL-2.0
packer	1.16.0	amd64	official-archive	https://releases.hashicorp.com/packer/1.16.0/packer_1.16.0_linux_amd64.zip	34785580	5edcd14ab59b535040c512dbecd6ec9ef976a000b073c19d93e4c431c948581e	machine-image-core				BUSL-1.1
typst	0.15.1	amd64	github-release	https://github.com/typst/typst/releases/download/v0.15.1/typst-x86_64-unknown-linux-musl.tar.xz	17462992	a6d077d0a95eed5a2eba715b2dae06be954f624ccbf85758a03f389ded33118c	document-core	https://github.com/typst/typst	v0.15.1	9dfd3a08500b7896045f907433cf7b4b02434fad	Apache-2.0
uv	0.12.1	amd64	github-release	https://github.com/astral-sh/uv/releases/download/0.12.1/uv-x86_64-unknown-linux-gnu.tar.gz	21760555	90b2f223fb69d19db49e117da601f64978593417988530aa733d456141b4bcbb	sezu-core	https://github.com/astral-sh/uv	0.12.1	329541a503de8a4d9bb021814f9c0875efe033c8	Apache-2.0 OR MIT
vcpkg	2026.07.29	source	git-archive	https://github.com/microsoft/vcpkg/archive/9e593bb18ea69cc5095e012465dcd675a822ed0d.tar.gz	5334507	e9255b62719c659f224fcc639b1bf4a6226e4996ad3fb006e18e1533cad77725	cross-build-core	https://github.com/microsoft/vcpkg	2026.07.29	9e593bb18ea69cc5095e012465dcd675a822ed0d	MIT
wasm-pack	0.15.0	amd64	github-release	https://github.com/wasm-bindgen/wasm-pack/releases/download/v0.15.0/wasm-pack-v0.15.0-x86_64-unknown-linux-musl.tar.gz	2881231	c09f971ecaed9a2efc80fdcea7a00ef6b53c7fadc8c57d1f61b53a6aa66b668a	wasm-core	https://github.com/rustwasm/wasm-pack	v0.15.0	8320269d4b1d7a3a06da0fcc67cf5b176699ebe3	MIT OR Apache-2.0
wasm-tools	1.255.0	amd64	github-release	https://github.com/bytecodealliance/wasm-tools/releases/download/v1.255.0/wasm-tools-1.255.0-x86_64-linux.tar.gz	5863268	a62237f4731c45f665f1115cad39acaeec02963cbc848c9473ab033eed837072	wasm-core	https://github.com/bytecodealliance/wasm-tools	v1.255.0	76e20611d1920a7a39ca08983c6c77c3060de380	Apache-2.0 WITH LLVM-exception
wasmtime	47.0.3	amd64	github-release	https://github.com/bytecodealliance/wasmtime/releases/download/v47.0.3/wasmtime-v47.0.3-x86_64-linux.tar.xz	11712804	ca1fc56d1afc40c8782e96c297fd182a0da162f9a8f52a1e7b094e1dd648e178	wasm-core	https://github.com/bytecodealliance/wasmtime	v47.0.3	5554cc1a651da536af2cc46c7324bdc085b162e3	Apache-2.0 WITH LLVM-exception
websocat	1.14.1	amd64	github-release	https://github.com/vi/websocat/releases/download/v1.14.1/websocat.x86_64-unknown-linux-musl	7845504	66f8dd3a0394761556339117f8bb5123bddefd44e087af2a72ec22b0bd08d514	network-core	https://github.com/vi/websocat	v1.14.1	29c8c54d6f275519abc28f4cb90e1fa69e2fbcae	MIT
wit-bindgen	0.60.0	amd64	github-release	https://github.com/bytecodealliance/wit-bindgen/releases/download/v0.60.0/wit-bindgen-0.60.0-x86_64-linux.tar.gz	5698815	6dc887e6d66a183d196885ff611e7f0a7db64db189f95c18f2a65fcf65d3651b	wasm-core	https://github.com/bytecodealliance/wit-bindgen	v0.60.0	1ae00530221542369d0e47ee4a1f4232f09d978d	Apache-2.0 WITH LLVM-exception
