component	version	architecture	source_type	source_url	size	sha256	pack	git_repository	git_tag	git_commit	spdx
bun	1.3.14	amd64	github-release	https://github.com/oven-sh/bun/releases/download/bun-v1.3.14/bun-linux-x64.zip	35969274	951ee2aee855f08595aeec6225226a298d3fea83a3dcd6465c09cbccdf7e848f	language-bun	https://github.com/oven-sh/bun	bun-v1.3.14	0d9b296af33f2b851fcbf4df3e9ec89751734ba4	MIT
deno	2.9.4	amd64	github-release	https://github.com/denoland/deno/releases/download/v2.9.4/deno-x86_64-unknown-linux-gnu.zip	43834754	c24f955d9fbfe0ea5ae2b501c8e71ae76e31e4c9782390a54a284b3364fda725	language-deno	https://github.com/denoland/deno	v2.9.4	14eea3160ae5834476aa3b9d317b8d41d991b982	MIT
dotnet-sdk	10.0.302	amd64	official-archive	https://builds.dotnet.microsoft.com/dotnet/Sdk/10.0.302/dotnet-sdk-10.0.302-linux-x64.tar.gz	235808828	264a838d6f5d1a252489c7bb2e2946a579d6a881391d50ffd175a01e4d948c1c	language-dotnet				MIT
kotlin-compiler	2.4.10	amd64	github-release	https://github.com/JetBrains/kotlin/releases/download/v2.4.10/kotlin-compiler-2.4.10.zip	87077443	473dd66c7a3ef4b182065b3da670466c1bf2773a9dbb0ed8b33a39fe9d4f876d	language-kotlin	https://github.com/JetBrains/kotlin	v2.4.10	5687445832cd835b4509b9fbc264cdf1a8201093	Apache-2.0
julia	1.12.6	amd64	official-archive	https://julialang-s3.julialang.org/bin/linux/x64/1.12/julia-1.12.6-linux-x86_64.tar.gz	289794236	bbabf3bef19421a9dbd24a767d807606ab85e444323b5a1c73ffe293fa3d079a	language-julia				MIT
dart-sdk	3.12.2	amd64	official-archive	https://storage.googleapis.com/dart-archive/channels/stable/release/3.12.2/sdk/dartsdk-linux-x64-release.zip	233130148	28e47b44cf075f36771046c068bb0d174201cf9c7608744aed1cc23204299c2d	language-dart				BSD-3-Clause
powershell	7.6.4	amd64	github-release	https://github.com/PowerShell/PowerShell/releases/download/v7.6.4/powershell-7.6.4-linux-x64.tar.gz	77628778	4471b5a36bfe86ec7af8525d36bb1cacba0128e7aac22d05cc064bc00e604721	language-powershell	https://github.com/PowerShell/PowerShell	v7.6.4	abeb8444d065feeccf80bda83eed5675a37719c1	MIT
swift	6.2.3	amd64	official-archive	https://download.swift.org/swift-6.2.3-release/ubuntu2404/swift-6.2.3-RELEASE/swift-6.2.3-RELEASE-ubuntu24.04.tar.gz	1008246081	3e0b8eaf9210131a1756e6a1a9e9103bac83609a0ae604d6f2e791053f98f115	language-swift				Apache-2.0
minio-client	2025-08-13T08-35-41Z	amd64	github-release	https://github.com/minio/mc/releases/download/RELEASE.2025-08-13T08-35-41Z/mc.linux-amd64.RELEASE.2025-08-13T08-35-41Z	30535864	01f866e9c5f9b87c2b09116fa5d7c06695b106242d829a8bb32990c00312e891	storage-extra	https://github.com/minio/mc	RELEASE.2025-08-13T08-35-41Z	7394ce0dd2a80935aded936b09fa12cbb3cb8096	AGPL-3.0-only
sops	3.13.3	amd64	github-release	https://github.com/getsops/sops/releases/download/v3.13.3/sops-v3.13.3.linux.amd64	52121762	e5bec3346a873ae91d871550f3e698c1aad962aff462a080e40f25fde17fef6b	storage-extra	https://github.com/getsops/sops	v3.13.3	26e2f4784ca61353082c32dbd987c25eda086dc9	MPL-2.0
