package	version	architecture	source	package_url	size	sha256	requested_by
acl	2.3.2-1build1.1	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/a/acl/acl_2.3.2-1build1.1_amd64.deb	39398	0beec20d005bb4b3138ac9c99ab7c10a06acaf1ea1ad4e10ad760e56561edd58	apt-closure
adduser	3.137ubuntu1	all	Ubuntu:noble:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/a/adduser/adduser_3.137ubuntu1_all.deb	100872	542aff2395eb912a56833e11a78076342779689d8fede7adcf08d1d6b0d0cd8b	apt-closure
apparmor	4.0.1really4.0.1-0ubuntu0.24.04.7	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/a/apparmor/apparmor_4.0.1really4.0.1-0ubuntu0.24.04.7_amd64.deb	639704	45c30f4a9724a21e2f5f91a0556f979c13ab2042e6a38c7fdd6da87829e8d67e	apt-closure
apparmor-utils	4.0.1really4.0.1-0ubuntu0.24.04.7	all	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/a/apparmor/apparmor-utils_4.0.1really4.0.1-0ubuntu0.24.04.7_all.deb	46494	1c0dd6c946f43dd0512813678999283acb96bffdde2051e8d4050756c0677d76	apt-closure
attr	1:2.5.2-1build1.1	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/a/attr/attr_2.5.2-1build1.1_amd64.deb	22820	b592fb597533da19150b4ef275b9ebc9a41bc6c80fab9e73028df01d85ebd5eb	apt-closure
bridge-utils	1.7.1-1ubuntu2	amd64	Ubuntu:noble:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/b/bridge-utils/bridge-utils_1.7.1-1ubuntu2_amd64.deb	33884	de7c05690b77d96f9453e5a824f0b523da7bda15a4538349a1591a21498281d2	apt-closure
btrfs-progs	6.6.3-1.1build2	amd64	Ubuntu:noble:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/b/btrfs-progs/btrfs-progs_6.6.3-1.1build2_amd64.deb	983726	b4aeb482adcce07b276827d8f4b0c502427a2a43574fa8349081f23dcd8c96aa	apt-closure
ca-certificates	20260601~24.04.1	all	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/c/ca-certificates/ca-certificates_20260601%7e24.04.1_all.deb	139430	6bac2a01979e210d9eac1d4d56747ec709ea60654744d66705dc3c36e7629e50	apt-closure
cloud-image-utils	0.33-1	all	Ubuntu:noble:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/c/cloud-utils/cloud-image-utils_0.33-1_all.deb	19566	c4203167b5f2ccc8d7e2ff66f6ed5bb55d1ce467511d27732b91e1389e15cd9e	apt-closure
coreutils	9.4-3ubuntu6.2	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/c/coreutils/coreutils_9.4-3ubuntu6.2_amd64.deb	1411666	d623abbb182acfead9d6352252e687674b6e5b3b79d42aa1324b08a3a6e1131b	apt-closure
cpu-checker	0.7-1.3build2	amd64	Ubuntu:noble:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/c/cpu-checker/cpu-checker_0.7-1.3build2_amd64.deb	6148	744e0006798300431ca47144103dcd1fe498afcac0138a7c013490ecbc1417e2	apt-closure
curl	8.5.0-2ubuntu10.11	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/c/curl/curl_8.5.0-2ubuntu10.11_amd64.deb	226398	c44c90bf869c9fadb12015afb65178c0346ecb3b88ac1a78b40addadf874c45b	apt-closure
debconf	1.5.86ubuntu1	all	Ubuntu:noble:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/d/debconf/debconf_1.5.86ubuntu1_all.deb	124096	bb390da466a7461bfc87aa3e6b7cd145dae84af3e26bf437f2c0c218ba226294	apt-closure
dirmngr	2.4.4-2ubuntu17.4	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/g/gnupg2/dirmngr_2.4.4-2ubuntu17.4_amd64.deb	323242	4155be4f35ffc177ddf0282a635ebdbfd555ebb0dd3b6d8e7fd736e1fcedec0b	apt-closure
dmeventd	2:1.02.185-3ubuntu3.2	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/l/lvm2/dmeventd_1.02.185-3ubuntu3.2_amd64.deb	37964	9681c525c8fe73c06b8d01b903654f89e8d6486bab71574862d1fb2f2d4aaf07	apt-closure
dmidecode	3.5-3ubuntu0.1	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/d/dmidecode/dmidecode_3.5-3ubuntu0.1_amd64.deb	73004	4d837b0919d0288ad936c393d67942479c0cc5f216273b940f1479eb23f6dd4b	apt-closure
dmsetup	2:1.02.185-3ubuntu3.2	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/l/lvm2/dmsetup_1.02.185-3ubuntu3.2_amd64.deb	79182	25619bad426e6ea795bf441c929f3c444ddf15c08740841ccc214951ce7ab6f8	apt-closure
dnsmasq-base	2.90-2ubuntu0.4	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/d/dnsmasq/dnsmasq-base_2.90-2ubuntu0.4_amd64.deb	376178	d519d43f796fae7d9e1b565e5d6254d8cecafd934eb1c22d54f6c525f49da32c	apt-closure
dosfstools	4.2-1.1build1	amd64	Ubuntu:noble:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/d/dosfstools/dosfstools_4.2-1.1build1_amd64.deb	86256	ace1ecc42b4d842f8e7a931933824a626dcdb7d4916470833f330ccad82afd63	apt-closure
dpkg	1.22.6ubuntu6.6	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/d/dpkg/dpkg_1.22.6ubuntu6.6_amd64.deb	1282284	ceb6aa4da59fbcb8a3b0549b4280c60b7d849b519859797c8668bdfbe378fb3b	apt-closure
e2fsprogs	1.47.0-2.4~exp1ubuntu4.1	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/e/e2fsprogs/e2fsprogs_1.47.0-2.4%7eexp1ubuntu4.1_amd64.deb	600736	1d0fb19dcf14316d04602260871dba3c1441c0ecf3c3bde54eacba35dcc5a40b	apt-closure
ethtool	1:6.7-1build1	amd64	Ubuntu:noble:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/e/ethtool/ethtool_6.7-1build1_amd64.deb	228510	b0f36f1da7a0438aac6e537453dc1a3c817b1b88e49230ed25943a94b73aa226	apt-closure
file	1:5.45-3build1	amd64	Ubuntu:noble:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/f/file/file_5.45-3build1_amd64.deb	22042	17dae1d6e803d0304e318f451c8abf62cbd5bb2a0068300cdeea77c62075b895	apt-closure
fuse3	3.14.0-5build1	amd64	Ubuntu:noble:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/f/fuse3/fuse3_3.14.0-5build1_amd64.deb	25156	1e5580eeb72e830f0b242254b2438669a94c9912abf1e2f188b2992f188cc995	apt-closure
gcc-14-base	14.2.0-4ubuntu2~24.04.1	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/g/gcc-14/gcc-14-base_14.2.0-4ubuntu2%7e24.04.1_amd64.deb	51014	b95c172411a7fdae70307cf33a9f5320ba5e056b556454543dd5b679d5ce1c4f	apt-closure
gdisk	1.0.10-1build1	amd64	Ubuntu:noble:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/g/gdisk/gdisk_1.0.10-1build1_amd64.deb	252838	4d899a8d2baf3296bdc566924330f534bb8d345ffedea194b588864d7c0469ba	apt-closure
genisoimage	9:1.1.11-3.5	amd64	Ubuntu:noble:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/c/cdrkit/genisoimage_1.1.11-3.5_amd64.deb	377720	cfa9f63d8208a3e1b2c228357707f607e2b402334262d6f591abc44a429bb217	apt-closure
git	1:2.43.0-1ubuntu7.3	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/g/git/git_2.43.0-1ubuntu7.3_amd64.deb	3679758	099bb129f543adc4c14203334b0fa0a909f8bf038c4d56bc9cc7c774ebf78f87	apt-closure
git-man	1:2.43.0-1ubuntu7.3	all	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/g/git/git-man_2.43.0-1ubuntu7.3_all.deb	1100178	5701f931ed2cd30644700b0fc1cda7c2214f93a63ef84c0c80e43ce40d2cf1d2	apt-closure
gnupg	2.4.4-2ubuntu17.4	all	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/g/gnupg2/gnupg_2.4.4-2ubuntu17.4_all.deb	358888	24fa610ce3b7512d58def5bf6699c05b09fbd235b9432245c000036d70eebc97	apt-closure
