package	version	architecture	source	package_url	size	sha256	requested_by
7zip	23.01+dfsg-11	amd64	Ubuntu:noble:universe:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/universe/7/7zip/7zip_23.01%2bdfsg-11_amd64.deb	1846156	0f79450d81e64326a862a8645ae1613890e486115101e51e41ca07d929388d87	apt-closure
acl	2.3.2-1build1.1	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/a/acl/acl_2.3.2-1build1.1_amd64.deb	39398	0beec20d005bb4b3138ac9c99ab7c10a06acaf1ea1ad4e10ad760e56561edd58	apt-closure
adduser	3.137ubuntu1	all	Ubuntu:noble:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/a/adduser/adduser_3.137ubuntu1_all.deb	100872	542aff2395eb912a56833e11a78076342779689d8fede7adcf08d1d6b0d0cd8b	apt-closure
adwaita-icon-theme	46.0-1	all	Ubuntu:noble:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/a/adwaita-icon-theme/adwaita-icon-theme_46.0-1_all.deb	722560	530d1991a87ffda50f35f9a6d23712ed04c10b742c3e434097840fed50b1eb4e	apt-closure
age	1.1.1-1ubuntu0.24.04.3	amd64	Ubuntu:noble-updates:universe:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/universe/a/age/age_1.1.1-1ubuntu0.24.04.3_amd64.deb	1629868	22ed034e16d8a7662d94dbb8d9f644f01284c6d87bc6b619903e38ba91125337	apt-closure
ansible-core	2.16.3-0ubuntu2	all	Ubuntu:noble:universe:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/universe/a/ansible-core/ansible-core_2.16.3-0ubuntu2_all.deb	1280094	484d359659715e0402598be29004f3cc817cbd702799bc3e3f090dec56602d6e	apt-closure
ant	1.10.14-1	all	Ubuntu:noble:universe:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/universe/a/ant/ant_1.10.14-1_all.deb	2146730	1172d6e9f5bebb5a7d2a79cbef18342ee9085beafb4749de46882e9b93f028cb	apt-closure
ant-optional	1.10.14-1	all	Ubuntu:noble:universe:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/universe/a/ant/ant-optional_1.10.14-1_all.deb	451104	ee411c506904d035ad2e1dcc884d0b6c3c8155b27019bdfe2ecccceccf843cca	apt-closure
antlr	2.7.7+dfsg-13build1	all	Ubuntu:noble:universe:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/universe/a/antlr/antlr_2.7.7%2bdfsg-13build1_all.deb	5174	075406e4c2b251f9d35a9208d5d5c36cdae9de4403b4bae49f9a156c3deeecab	apt-closure
apache2-bin	2.4.58-1ubuntu8.15	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/a/apache2/apache2-bin_2.4.58-1ubuntu8.15_amd64.deb	1337738	239096545e68fe78a82df5474d445af61460fb2e0ae6df4ad04c37eaa41a40e3	apt-closure
apt	2.8.3	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/a/apt/apt_2.8.3_amd64.deb	1375526	c9ace99efc7726fe0035f921a9acf262a9723bbf35b861aab4f9075a0be67442	apt-closure
