component	version	architecture	source_type	source_url	size	sha256	pack	git_repository	git_tag	git_commit	spdx
nodejs	24.19.0	amd64	official-archive	https://nodejs.org/dist/v24.19.0/node-v24.19.0-linux-x64.tar.xz	31633904	14b342e71204f811bde6153be8e04b62aef63c236fef92b55f9c83154b409647	sezu-core				MIT
tunnel-client	0.0.10	amd64	github-release	https://github.com/openai/tunnel-client/releases/download/v0.0.10/tunnel-client-v0.0.10-linux-amd64.zip	7508561	b9e0388a343f2d7adeff3992f411a0bd3d916a64bc56534aac5fd15ac1b20cd5	sezu-runtime	https://github.com/openai/tunnel-client	v0.0.10	105e17a79a36e4e5c897fd698ed2b8dbf935b144	NOASSERTION
bun	1.3.14	amd64	github-release	https://github.com/oven-sh/bun/releases/download/bun-v1.3.14/bun-linux-x64.zip	35969274	951ee2aee855f08595aeec6225226a298d3fea83a3dcd6465c09cbccdf7e848f	language-bun	https://github.com/oven-sh/bun	bun-v1.3.14	0d9b296af33f2b851fcbf4df3e9ec89751734ba4	MIT
deno	2.9.4	amd64	github-release	https://github.com/denoland/deno/releases/download/v2.9.4/deno-x86_64-unknown-linux-gnu.zip	43834754	c24f955d9fbfe0ea5ae2b501c8e71ae76e31e4c9782390a54a284b3364fda725	language-deno	https://github.com/denoland/deno	v2.9.4	14eea3160ae5834476aa3b9d317b8d41d991b982	MIT
dotnet-sdk	10.0.302	amd64	official-archive	https://builds.dotnet.microsoft.com/dotnet/Sdk/10.0.302/dotnet-sdk-10.0.302-linux-x64.tar.gz	235808828	264a838d6f5d1a252489c7bb2e2946a579d6a881391d50ffd175a01e4d948c1c	language-dotnet				MIT
kotlin-compiler	2.4.10	amd64	github-release	https://github.com/JetBrains/kotlin/releases/download/v2.4.10/kotlin-compiler-2.4.10.zip	87077443	473dd66c7a3ef4b182065b3da670466c1bf2773a9dbb0ed8b33a39fe9d4f876d	language-kotlin	https://github.com/JetBrains/kotlin	v2.4.10	5687445832cd835b4509b9fbc264cdf1a8201093	Apache-2.0
julia	1.12.6	amd64	official-archive	https://julialang-s3.julialang.org/bin/linux/x64/1.12/julia-1.12.6-linux-x86_64.tar.gz	289794236	bbabf3bef19421a9dbd24a767d807606ab85e444323b5a1c73ffe293fa3d079a	language-julia				MIT
dart-sdk	3.12.2	amd64	official-archive	https://storage.googleapis.com/dart-archive/channels/stable/release/3.12.2/sdk/dartsdk-linux-x64-release.zip	233130148	28e47b44cf075f36771046c068bb0d174201cf9c7608744aed1cc23204299c2d	language-dart				BSD-3-Clause
powershell	7.6.4	amd64	github-release	https://github.com/PowerShell/PowerShell/releases/download/v7.6.4/powershell-7.6.4-linux-x64.tar.gz	77628778	4471b5a36bfe86ec7af8525d36bb1cacba0128e7aac22d05cc064bc00e604721	language-powershell	https://github.com/PowerShell/PowerShell	v7.6.4	abeb8444d065feeccf80bda83eed5675a37719c1	MIT
swift	6.2.3	amd64	official-archive	https://download.swift.org/swift-6.2.3-release/ubuntu2404/swift-6.2.3-RELEASE/swift-6.2.3-RELEASE-ubuntu24.04.tar.gz	1008246081	3e0b8eaf9210131a1756e6a1a9e9103bac83609a0ae604d6f2e791053f98f115	language-swift				Apache-2.0
typst	0.15.1	amd64	github-release	https://github.com/typst/typst/releases/download/v0.15.1/typst-x86_64-unknown-linux-musl.tar.xz	17462992	a6d077d0a95eed5a2eba715b2dae06be954f624ccbf85758a03f389ded33118c	document-core	https://github.com/typst/typst	v0.15.1	9dfd3a08500b7896045f907433cf7b4b02434fad	Apache-2.0
wasmtime	47.0.3	amd64	github-release	https://github.com/bytecodealliance/wasmtime/releases/download/v47.0.3/wasmtime-v47.0.3-x86_64-linux.tar.xz	11712804	ca1fc56d1afc40c8782e96c297fd182a0da162f9a8f52a1e7b094e1dd648e178	wasm-core	https://github.com/bytecodealliance/wasmtime	v47.0.3	5554cc1a651da536af2cc46c7324bdc085b162e3	Apache-2.0 WITH LLVM-exception
wasm-tools	1.255.0	amd64	github-release	https://github.com/bytecodealliance/wasm-tools/releases/download/v1.255.0/wasm-tools-1.255.0-x86_64-linux.tar.gz	5863268	a62237f4731c45f665f1115cad39acaeec02963cbc848c9473ab033eed837072	wasm-core	https://github.com/bytecodealliance/wasm-tools	v1.255.0	76e20611d1920a7a39ca08983c6c77c3060de380	Apache-2.0 WITH LLVM-exception
wit-bindgen	0.60.0	amd64	github-release	https://github.com/bytecodealliance/wit-bindgen/releases/download/v0.60.0/wit-bindgen-0.60.0-x86_64-linux.tar.gz	5698815	6dc887e6d66a183d196885ff611e7f0a7db64db189f95c18f2a65fcf65d3651b	wasm-core	https://github.com/bytecodealliance/wit-bindgen	v0.60.0	1ae00530221542369d0e47ee4a1f4232f09d978d	Apache-2.0 WITH LLVM-exception
wasm-pack	0.15.0	amd64	github-release	https://github.com/wasm-bindgen/wasm-pack/releases/download/v0.15.0/wasm-pack-v0.15.0-x86_64-unknown-linux-musl.tar.gz	2881231	c09f971ecaed9a2efc80fdcea7a00ef6b53c7fadc8c57d1f61b53a6aa66b668a	wasm-core	https://github.com/rustwasm/wasm-pack	v0.15.0	8320269d4b1d7a3a06da0fcc67cf5b176699ebe3	MIT OR Apache-2.0
packer	1.16.0	amd64	official-archive	https://releases.hashicorp.com/packer/1.16.0/packer_1.16.0_linux_amd64.zip	34785580	5edcd14ab59b535040c512dbecd6ec9ef976a000b073c19d93e4c431c948581e	machine-image-core				BUSL-1.1
bazel	9.2.0	amd64	github-release	https://github.com/bazelbuild/bazel/releases/download/9.2.0/bazel-9.2.0-linux-x86_64	65942537	7668a95db1250f12c40407251e4e203b4ec8bf39bc495d2f485b2d8c99048694	cross-build-core	https://github.com/bazelbuild/bazel	9.2.0	8220c6198837d5c13d53fea211cf3282aa12408a	Apache-2.0
vcpkg	2026.07.29	source	git-archive	https://github.com/microsoft/vcpkg/archive/9e593bb18ea69cc5095e012465dcd675a822ed0d.tar.gz	5334507	e9255b62719c659f224fcc639b1bf4a6226e4996ad3fb006e18e1533cad77725	cross-build-core	https://github.com/microsoft/vcpkg	2026.07.29	9e593bb18ea69cc5095e012465dcd675a822ed0d	MIT
grpcurl	1.9.3	amd64	github-release	https://github.com/fullstorydev/grpcurl/releases/download/v1.9.3/grpcurl_1.9.3_linux_x86_64.tar.gz	7909225	a926b62a85787ccf73ef8736b3ae554f1242e39d92bb8767a79d6dd23b11d1d5	network-core	https://github.com/fullstorydev/grpcurl	v1.9.3	d00c28104be4b06f4dd887196ccfc57b054aa069	MIT
